,Name,Lat,Lon,Temp,Cloudiness,Humidity,Wind
130,marysville,48.05,-122.18,52.0,40,87,1.5
131,santa marta,11.24,-74.21,89.6,40,70,3.1
132,jining,35.41,116.58,66.95,0,58,2.45
133,reforma,24.02,-104.65,71.01,90,60,4.89
134,alice springs,-23.7,133.88,69.8,17,21,1.5
135,male,50.74,33.7,51.83,77,67,2.05
136,karratha,-20.74,116.85,65.69,0,45,4.12
137,hastings,-39.64,176.84,39.59,3,88,1.46
138,vikhorevka,56.12,101.17,46.4,100,65,3.0
139,tezu,27.93,96.16,72.17,69,67,1.28
140,maple creek,49.91,-109.46,37.43,100,53,6.92
141,esmeralda,-34.33,-70.9,68.0,0,42,3.1
142,alofi,-19.06,-169.92,71.6,55,83,3.1
143,yellowknife,62.45,-114.38,33.8,75,86,4.1
144,gold coast,-28.0,153.41,64.0,0,72,5.7
145,payo,-3.75,103.64,67.49,0,82,1.59
146,coihaique,-45.58,-72.07,57.2,75,47,2.6
147,gweta,-20.21,25.26,73.43,76,9,4.14
148,kot samaba,28.55,70.47,89.81,4,39,3.05
149,isangel,-19.55,169.27,73.25,87,80,3.84
150,abbeville,50.11,1.83,63.0,75,82,7.7
151,port moresby,-9.47,147.16,77.0,90,94,3.6
152,den helder,52.96,4.76,64.0,90,77,11.8
153,comodoro rivadavia,-45.87,-67.48,68.0,40,34,8.7
154,pisco,-13.71,-76.2,71.6,75,30,3.6
155,mao,19.55,-71.08,91.4,40,55,2.1
156,starozhilovo,54.23,39.91,46.99,74,60,1.84
157,saldanha,41.42,-6.55,71.63,5,33,0.5
158,iqaluit,63.75,-68.52,39.2,90,100,2.1
159,tlaxco,19.61,-98.12,68.0,75,60,3.06
160,vila franca do campo,37.72,-25.43,75.2,40,83,5.1
161,dingle,11.0,122.67,74.15,80,89,0.3
162,okhotsk,59.36,143.24,38.51,100,92,8.98
163,hofn,64.25,-15.21,36.89,94,90,10.4
164,kovdor,67.56,30.47,42.65,100,93,2.44
165,balakhta,55.38,91.62,39.41,77,84,4.95
166,ponta do sol,-20.63,-46.0,79.37,36,44,3.29
167,deputatskiy,69.3,139.9,18.89,99,91,1.3
168,nueva loja,0.08,-76.88,84.2,40,70,2.1
169,les cayes,18.19,-73.75,84.23,60,76,1.74
170,thompson,55.74,-97.86,39.2,75,55,4.6
171,babanka,48.71,30.45,56.15,93,66,3.05
172,namatanai,-3.66,152.44,79.01,35,79,3.16
173,bhinmal,25.01,72.27,78.83,24,80,7.19
174,dudinka,69.41,86.18,32.0,75,97,3.0
175,dhidhdhoo,6.88,73.1,83.15,100,66,1.65
176,san juan,-31.54,-68.53,72.17,1,14,4.03
177,koutiala,12.39,-5.46,86.93,70,55,2.11
178,port alfred,-33.59,26.89,66.0,95,89,1.9
179,chicama,-7.84,-79.15,62.6,75,82,4.6
180,chute-aux-outardes,49.12,-68.38,55.4,90,100,2.6
181,maltahohe,-24.83,16.98,63.71,0,37,5.78
182,mitsamiouli,-11.38,43.28,77.57,49,83,9.51
183,sonqor,34.78,47.6,77.0,0,15,3.1
184,plouzane,48.38,-4.62,63.0,90,87,10.3
185,torbay,47.66,-52.73,61.0,90,76,7.7
186,kahului,20.89,-156.47,78.01,75,83,5.1
187,walvis bay,-22.95,14.51,64.4,34,77,5.7
188,kamaishi,39.28,141.86,55.79,100,62,0.49
189,sakaiminato,35.55,133.23,75.2,75,88,0.5
190,codrington,-28.95,153.24,60.8,75,77,2.6
191,jacobina,-11.19,-40.51,95.21,27,21,4.94
192,do gonbadan,30.36,50.8,91.4,0,27,0.58
193,cidreira,-30.17,-50.22,66.05,41,58,7.89
194,terrak,65.09,12.37,54.0,100,71,3.1
195,victor harbor,-35.55,138.62,51.01,0,81,2.1
196,iracoubo,5.48,-53.21,83.69,46,77,4.53
197,darhan,49.49,105.92,44.81,37,65,1.89
198,faurei,45.08,27.27,66.2,40,68,1.5
199,santa cruz de la palma,28.68,-17.76,75.2,75,73,3.6
200,georgetown,6.8,-58.16,89.6,40,74,6.2
201,alyangula,-13.85,136.42,68.0,17,94,0.87
202,imeni poliny osipenko,52.42,136.49,59.03,50,75,4.47
203,jarvenpaa,60.47,25.09,52.0,20,81,4.1
204,utevka,52.9,50.95,37.43,66,81,2.43
205,mehran,33.12,46.17,75.2,0,22,1.0
206,kashary,49.04,41.01,52.55,59,60,2.35
207,rawson,-43.3,-65.11,74.87,25,27,6.61
208,kenai,60.55,-151.26,43.0,90,86,2.1
209,emba,34.81,32.42,78.8,20,73,4.1
210,kisangani,0.52,25.21,77.0,90,83,5.1
211,kaveripattinam,12.42,78.22,70.19,91,92,1.92
212,mezhdurechensk,53.69,88.07,34.91,77,94,0.66
213,port blair,11.67,92.75,82.25,1,81,3.55
214,champerico,16.38,-93.6,78.8,90,78,2.1
215,upernavik,72.79,-56.15,40.31,0,64,1.44
216,meulaboh,4.14,96.13,80.09,100,78,2.28
217,bambanglipuro,-7.95,110.28,75.59,90,89,5.98
218,cherskiy,68.75,161.3,31.13,100,97,3.8
219,jalu,29.03,21.55,84.77,0,31,4.06
220,salalah,17.01,54.1,78.11,70,81,3.8
221,oktyabrskoye,56.73,85.44,37.0,20,100,4.0
222,asimion,35.05,25.1,79.0,20,78,3.1
223,shizunai,42.33,142.37,61.55,62,81,3.49
224,gornopravdinsk,60.06,69.92,30.05,89,95,1.82
225,kingaroy,-26.54,151.84,53.6,0,87,1.65
226,gbadolite,4.28,21.0,73.79,89,93,2.07
227,carnarvon,-30.97,22.13,67.49,59,9,5.0
228,surat thani,9.14,99.33,80.01,20,100,1.5
229,namtsy,62.72,129.66,32.0,40,84,3.0
230,nara,34.68,135.8,77.0,98,88,1.0
231,sao filipe,14.9,-24.5,78.29,2,80,7.55
232,birao,10.3,22.78,75.77,100,85,2.8
233,kruisfontein,-34.0,24.73,61.73,100,90,4.07
234,sur,22.57,59.53,86.57,10,53,4.86
235,yining,29.04,114.56,61.55,0,68,0.28
236,grindavik,63.84,-22.43,55.4,0,76,6.2
237,labuhan,-2.54,115.51,73.25,39,87,0.87
238,christchurch,-43.53,172.64,55.4,2,50,3.6
239,padang,-0.92,100.36,78.65,100,86,7.23
240,namibe,-15.19,12.15,69.65,59,91,4.4
241,ostrovnoy,68.05,39.51,40.67,100,95,3.51
242,zhengjiatun,43.51,123.51,60.29,15,67,4.14
243,north auburn,47.34,-122.23,50.0,40,87,5.12
244,necochea,-38.55,-58.74,71.81,15,52,6.92
245,wanaka,-44.7,169.14,52.0,62,69,1.34
246,saint george,39.45,22.34,77.0,20,57,4.6
247,jeremie,18.65,-74.12,85.49,50,70,2.96
248,pandan,11.72,122.09,82.25,85,75,5.08
249,sabha,27.03,14.43,86.03,0,24,5.15
250,bondo,3.81,23.69,71.45,77,95,0.26
251,palmer,-34.85,139.16,51.01,0,81,2.1
252,lata,30.78,78.62,39.41,100,97,1.1
253,cockburn town,21.46,-71.14,89.6,40,70,2.57
254,fairbanks,64.84,-147.72,34.0,1,92,1.02
255,mantua,45.16,10.79,78.8,20,53,0.5
256,chapais,49.78,-74.86,46.4,75,70,3.6
257,berlevag,70.86,29.09,39.05,100,76,6.06
258,quang ngai,15.12,108.8,66.77,47,98,1.22
259,ancud,-41.87,-73.83,48.2,90,100,7.7
260,sembakung,3.82,117.25,73.25,24,96,0.75
261,yazoo city,32.86,-90.41,87.8,40,55,2.6
262,san quintin,17.54,120.52,74.51,85,91,1.57
263,surt,31.21,16.59,78.47,0,73,4.38
264,kropotkin,45.43,40.58,56.51,15,84,2.23
265,impfondo,1.62,18.06,72.35,97,96,1.4
266,arraial do cabo,-22.97,-42.02,75.2,75,69,6.7
267,lazaro cardenas,28.39,-105.62,82.99,5,49,2.1
268,wahiawa,21.5,-158.02,80.6,90,100,2.92
269,hasaki,35.73,140.83,71.6,75,88,1.5
270,princeton,40.35,-74.66,82.99,75,61,3.6
271,haines junction,60.75,-137.51,34.19,18,40,1.47
272,luganville,-15.51,167.18,70.19,81,95,0.96
273,vestmannaeyjar,63.44,-20.27,50.21,0,83,1.63
274,cochrane,-47.25,-72.57,45.71,84,78,3.55
275,beidao,34.57,105.89,51.47,0,94,2.62
276,lumphat,13.5,106.97,72.89,86,96,1.61
277,adre,13.47,22.2,77.93,70,64,3.47
278,asmara,15.34,38.93,78.47,100,57,2.36
279,itarema,-2.92,-39.92,88.91,1,46,6.71
280,byron bay,-28.65,153.62,63.0,72,72,5.7
281,durgapur,23.54,87.34,68.0,100,66,5.19
282,norfolk,36.85,-76.29,87.8,75,58,2.6
283,vogan,6.33,1.53,82.4,20,78,5.7
284,souillac,45.6,-0.6,69.8,75,52,3.6
285,ulcinj,41.93,19.22,75.2,0,57,1.0
286,maragogi,-9.01,-35.22,80.45,42,70,5.0
287,virginia beach,36.85,-75.98,87.8,40,74,3.6
288,saint-philippe,45.36,-73.48,64.4,90,88,2.6
289,coquimbo,-29.95,-71.34,60.8,0,59,6.2
290,xining,36.62,101.77,44.27,0,48,1.93
291,lamar,38.09,-102.62,55.4,90,87,1.5
292,lishu,43.31,124.32,58.67,16,87,1.2
293,baillif,16.02,-61.75,89.6,0,62,5.7
294,caravelas,-17.73,-39.27,74.51,100,82,5.29
295,san jose,14.25,-87.96,80.09,99,67,1.62
296,zhangjiakou,40.77,114.88,53.81,0,56,1.51
297,san ramon,12.92,-85.84,77.0,40,69,0.73
298,xiaoweizhai,26.23,107.51,59.21,0,73,1.24
299,tacuarembo,-31.73,-55.98,69.29,0,67,3.66
300,dodoma,-6.18,35.75,76.67,73,40,7.74
301,luderitz,-26.65,15.16,60.8,0,82,2.1
302,hinton,53.4,-117.57,24.65,100,87,1.73
303,vardo,39.62,-77.74,87.01,40,69,3.6
304,verkhoyansk,67.55,133.39,28.97,92,76,1.51
305,yatou,3.63,9.81,82.4,75,78,2.1
306,sistranda,63.73,8.83,59.0,0,71,3.1
307,veraval,49.65,0.71,64.4,40,59,6.7
308,shimoda,34.7,138.93,71.6,75,78,0.5
309,bambous virieux,-20.34,57.76,73.99,40,78,5.7
310,baghdad,33.3,44.38,91.4,0,26,3.1
311,novo aripuana,-5.12,-60.38,99.53,94,35,1.02
312,oliver,49.18,-119.55,48.2,90,66,2.6
313,nikel,69.41,30.21,41.0,100,86,3.6
314,mayo,63.59,-135.9,21.2,75,92,0.69
315,san andres,13.32,122.68,76.13,79,86,0.81
316,bassar,9.26,0.78,84.2,40,62,1.5
317,esqueda,30.72,-109.59,69.65,0,46,3.24
318,tuatapere,-46.13,167.69,48.99,91,76,3.58
319,prince rupert,54.32,-130.32,42.8,1,87,1.5
320,luena,-11.78,19.91,70.19,59,22,1.47
321,margate,-43.03,147.26,50.0,40,61,5.7
322,holtsville,35.31,-88.25,89.01,20,58,3.57
323,chunhuhub,19.59,-88.59,89.81,97,62,1.75
324,yaan,7.38,8.57,78.83,74,83,2.81
325,turukhansk,65.8,87.96,32.57,100,94,2.72
326,muros,42.77,-9.06,70.0,0,59,4.1
327,khurai,24.04,78.33,71.99,99,95,3.47
328,shenjiamen,29.96,122.3,72.89,0,81,2.68
329,selenginsk,52.01,106.87,37.4,69,74,1.03
330,north myrtle beach,33.83,-78.68,90.0,1,62,2.1
331,novaya lyalya,59.05,60.6,27.53,70,92,2.16
332,san felipe,-32.75,-70.73,80.01,0,48,0.89
333,opuwo,-18.06,13.84,73.25,17,36,4.47
334,rocha,-34.48,-54.34,65.87,21,59,4.21
335,tadine,-21.55,167.88,71.27,50,79,4.7
336,bayanday,53.07,105.52,36.35,65,84,1.55
337,devils lake,48.11,-98.87,46.4,1,70,5.1
338,dongsheng,29.72,112.52,70.01,0,46,0.45
339,aswan,24.09,32.9,88.37,0,14,5.98
340,henties bay,-22.12,14.28,63.0,20,87,2.68
341,lompoc,34.64,-120.46,69.8,90,82,4.6
342,grammatikou,38.53,21.5,77.0,20,73,0.29
343,marawi,8.0,124.29,73.99,100,90,3.13
344,bolotesti,45.83,27.07,66.2,40,68,1.5
345,port hardy,50.7,-127.42,50.0,5,57,2.1
346,uray,60.13,64.8,29.33,65,94,2.73
347,primorsko,42.27,27.75,68.0,0,77,4.6
348,nemuro,43.32,145.57,61.19,0,80,4.04
349,lakatoro,-16.11,167.42,77.57,100,76,4.87
350,esperance,-33.86,121.89,51.8,90,100,4.1
351,shelburne,44.08,-80.2,69.8,90,93,3.1
352,kaitangata,-46.28,169.85,48.0,79,69,1.79
353,nanortalik,60.14,-45.24,44.99,5,66,1.47
354,tawau,4.26,117.89,77.0,75,88,1.0
355,galveston,40.58,-86.19,82.0,90,65,2.6
356,touros,-5.2,-35.46,84.2,75,62,6.2
357,quelimane,-17.88,36.89,75.2,0,53,2.6
358,port-gentil,-0.72,8.78,80.6,90,83,4.1
359,hamilton,43.26,-79.87,73.0,90,93,5.1
360,mareeba,-16.99,145.42,69.8,10,77,2.1
361,sassandra,4.95,-6.09,75.23,89,91,2.6
362,poronaysk,49.22,143.1,51.65,56,79,0.48
363,tura,64.27,100.22,27.71,99,75,0.95
364,yerbogachen,61.28,108.01,29.51,74,89,2.45
365,praia da vitoria,38.73,-27.07,80.6,40,65,6.06
366,templin,53.12,13.5,60.8,40,82,4.6
367,bolshaya dzhalga,45.97,42.7,57.05,8,65,1.53
368,laguna,16.17,-88.94,86.0,75,70,1.19
369,caracuaro,19.01,-101.13,77.75,100,73,1.71
370,oistins,13.07,-59.53,87.8,40,70,6.2
371,ulaanbaatar,47.92,106.92,55.4,0,22,11.0
372,son la,21.32,103.9,60.83,0,82,0.62
373,pembroke,45.82,-77.11,62.6,90,88,3.1
374,evensk,61.92,159.24,30.23,20,65,2.91
375,road town,18.42,-64.62,86.0,20,70,2.1
376,gamboma,-1.87,15.88,73.79,46,78,2.16
377,buala,-8.15,159.59,79.91,33,82,3.25
378,cassilandia,-19.11,-51.73,88.91,28,35,1.61
379,kuruman,-27.46,23.43,64.25,100,12,3.47
380,cabedelo,-6.97,-34.84,84.2,75,62,4.1
381,nelson bay,-32.72,152.14,57.0,75,82,3.1
382,saint-georges,46.12,-70.67,63.0,97,57,1.01
383,sarakhs,36.54,61.16,84.2,0,35,1.49
384,vila velha,-3.71,-38.6,86.0,40,55,6.2
385,ngunguru,-35.62,174.5,43.0,0,93,3.94
386,riyadh,24.63,46.72,86.03,23,21,2.73
387,vaitape,-16.52,-151.75,79.01,12,83,7.73
388,katobu,-4.94,122.53,71.09,55,97,1.2
389,kloulklubed,7.04,134.26,78.8,90,88,3.6
390,hobyo,5.35,48.53,76.67,0,85,8.75
391,dubrovnik,42.65,18.09,71.6,0,77,1.0
392,sicamous,50.84,-118.99,53.01,40,36,7.7
393,itacarambi,-15.1,-44.09,80.45,76,49,4.73
394,severo-kurilsk,50.68,156.12,48.05,67,86,5.94
395,constantine,36.36,6.61,82.4,0,39,5.1
396,dzhebariki-khaya,62.22,135.8,30.77,100,94,2.66
397,isla mujeres,21.23,-86.73,87.8,75,74,4.1
398,thai binh,20.45,106.33,78.8,0,83,1.0
399,rio gallegos,-51.62,-69.22,59.0,0,38,1.5
400,ivybridge,50.39,-3.92,59.0,40,93,4.6
401,ahipara,-35.17,173.16,46.99,35,100,5.9
402,brownsville,25.91,-97.49,93.0,75,55,7.7
403,westport,41.14,-73.36,79.0,1,57,4.1
404,ritchie,-29.03,24.6,80.6,0,8,4.6
405,parrita,9.52,-84.33,80.01,90,65,5.1
406,magadan,59.56,150.8,40.31,100,51,4.46
407,atasu,48.68,71.64,42.83,21,42,3.58
408,el alto,-16.5,-68.19,60.8,20,26,6.7
409,suhbaatar,50.23,106.21,38.69,30,83,0.93
410,ryotsu,38.08,138.43,66.2,100,93,6.09
411,saint-pierre,48.95,4.24,64.4,0,77,4.6
412,eureka,40.8,-124.16,57.0,75,81,2.6
413,imbituba,-28.24,-48.67,71.6,40,56,5.7
414,tutoia,-2.76,-42.27,87.8,20,58,9.8
415,sorong,-0.86,131.25,71.45,100,95,1.13
416,auki,12.18,6.51,84.41,3,50,2.12
417,tecoanapa,16.99,-99.26,84.2,90,70,2.49
418,mushie,-3.02,16.92,73.25,100,92,0.72
419,altay,47.83,88.13,43.19,100,86,1.21
420,van buren,47.16,-67.94,60.8,90,87,3.1
421,katsuura,33.93,134.5,73.4,75,94,2.1
422,leshukonskoye,64.9,45.76,42.65,100,92,4.15
423,key west,47.93,-96.78,53.01,1,71,1.5
424,mizan teferi,6.99,35.58,62.81,100,95,1.58
425,hamtic,10.7,121.98,83.51,69,66,2.73
426,keflavik,64.0,-22.56,55.4,0,76,6.2
427,prince albert,53.2,-105.75,39.2,75,69,2.6
428,tyler,32.35,-95.3,87.01,40,66,3.1
429,bathsheba,13.22,-59.52,87.8,40,70,6.2
430,narsaq,60.91,-46.05,48.2,75,59,2.1
431,springville,40.17,-111.61,69.01,90,87,3.6
432,krasnaya poyma,55.0,39.08,46.99,81,57,2.55
433,katherine,-14.47,132.26,82.4,40,51,4.1
434,soanierana ivongo,-16.92,49.59,71.27,90,94,1.54
435,viedma,-40.81,-62.99,81.17,33,19,8.34
436,port shepstone,-30.74,30.45,62.99,2,60,3.12
437,chistogorskiy,53.98,87.38,36.35,100,89,1.63
438,inhambane,-23.87,35.38,77.0,20,65,3.1
439,ituporanga,-27.41,-49.6,71.01,73,77,5.36
440,kralendijk,12.15,-68.27,91.4,40,55,5.7
441,lanivtsi,49.87,26.08,58.49,100,90,5.38
442,dauphin,51.15,-100.04,42.8,90,52,5.1
443,oleksandrivka,48.97,32.24,55.61,100,54,1.64
444,lagunas,-5.23,-75.68,97.37,67,38,0.9
445,port lincoln,-34.72,135.86,53.99,0,69,4.66
446,cape coast,5.11,-1.24,77.39,71,88,6.23
447,sergeyevka,53.88,67.42,36.71,100,96,3.87
448,broken hill,-31.97,141.45,53.6,17,25,1.5
449,cloquet,46.72,-92.46,57.0,1,46,1.5
450,athni,16.73,75.07,73.07,95,87,4.09
451,avera,33.19,-82.53,90.0,40,58,4.1
452,goderich,43.74,-81.71,63.0,86,94,2.68
453,saint-joseph,43.56,6.97,80.6,0,30,5.7
454,belle fourche,44.67,-103.85,48.99,75,81,12.2
455,te anau,-45.41,167.72,44.81,98,77,4.44
456,dauriya,49.93,116.85,39.59,86,40,1.45
457,at-bashi,41.17,75.81,46.25,49,47,0.38
458,hun,50.34,4.87,61.0,68,77,6.2
459,makakilo city,21.35,-158.09,80.6,90,100,2.92
460,camargo,27.69,-105.17,82.61,14,37,0.76
461,porto novo,-23.68,-45.44,71.6,75,56,5.1
462,flinders,-34.58,150.85,55.0,90,76,3.1
463,najran,17.54,44.22,73.61,68,51,5.09
464,north platte,41.12,-100.77,53.6,90,76,5.1
465,los llanos de aridane,28.66,-17.92,75.2,75,73,3.6
466,chuy,-33.69,-53.46,59.39,62,69,6.68
467,atar,20.52,-13.05,109.79,42,6,4.38
468,stribro,49.75,13.0,60.8,20,81,3.1
469,smithers,54.78,-127.17,28.4,20,100,1.0
470,poya,-21.35,165.16,71.09,31,79,2.56
471,geraldton,49.72,-86.95,44.6,75,70,3.1
472,montepuez,-13.13,39.0,76.67,62,47,3.86
473,banda aceh,5.56,95.32,82.43,67,74,4.25
474,czluchow,53.67,17.36,59.0,91,87,2.24
475,lakes entrance,-37.88,147.99,50.0,54,78,3.46
476,havre-saint-pierre,50.23,-63.6,53.6,40,66,2.6
477,kaeo,-35.1,173.78,46.99,43,100,1.27
478,povenets,62.85,34.83,41.57,51,93,2.46
479,bubaque,11.28,-15.83,80.81,47,84,5.96
480,sycamore,41.99,-88.69,62.01,90,100,4.1
481,micheweni,-4.97,39.83,77.57,0,83,7.15
482,loreto,-23.27,-57.32,105.29,0,13,0.93
483,ayan,38.23,44.7,52.55,0,47,2.21
484,sayyan,15.17,44.32,70.91,77,68,1.82
485,pringsewu,-5.36,104.98,72.35,72,96,1.23
486,almaty,43.24,76.95,64.4,75,59,2.0
487,rundu,-17.91,19.77,86.0,17,6,2.1
488,oschersleben,52.03,11.25,61.0,0,77,3.6
489,oakdale,37.77,-120.85,64.99,5,77,3.44
490,garbolovo,60.34,30.5,50.0,75,87,3.0
491,mount isa,-20.73,139.49,71.6,0,19,4.1
492,beringovskiy,63.05,179.32,35.09,15,97,0.88
493,topchikha,52.82,83.12,42.8,0,61,3.0
494,bone,51.97,12.14,63.0,20,77,7.7
495,yeroham,30.99,34.93,68.57,0,89,2.57
496,pavilosta,56.89,21.19,59.0,50,93,4.1
497,kharitonovo,61.4,47.5,32.21,51,96,2.25
498,petropavl,54.87,69.13,36.71,100,92,2.96
